CO2,NO2,TEMPERATURE,HUMIDITY,PM2.5,PM10,SO2,O3,WIND_SPEED,AIR_QUALITY
1.518629775,56.8411231,21.25814788,64.89163928,8.046327763,50.22063046,33.15424502,24.4251646,1.450580744,Moderate
0.245631338,41.14832918,24.71179399,,18.25618881,0,14.64718482,64.45143939,6.977131654,Good
1.590040585,-0.336604088,28.72654393,55.7466675,99.07098099,67.27179949,34.20857472,23.73639972,2.981163198,Poor
0.774380852,59.24948281,34.0298142,46.34705122,27.00272238,171.080898,11.88951873,50.28507129,4.891567242,Moderate
0.735228213,35.96929298,,79.36680793,73.77475641,186.7489221,28.00808073,40.59236078,5.941749003,Moderate
1.695114934,46.86785387,24.97791329,50.65862586,52.53653883,182.9358301,14.34343608,43.67879843,6.42526779,Poor
1.631335151,23.84138986,34.76071932,64.85679029,89.80003264,65.89329309,47.01880025,43.38943408,1.610167562,Moderate
1.975727448,13.06748136,15.15683182,52.89644972,122.1988906,,21.7868189,41.37195929,8.673995378,Poor
1.361311023,30.98636585,34.01062105,69.09799886,79.19757983,97.27186372,36.55602355,34.83920064,8.749566428,Moderate
1.820752503,48.54609223,19.13985157,61.61956622,98.60796631,39.74895682,22.30837059,51.3641265,4.626010279,Poor
1.385648537,11.83357135,26.15417653,79.861895,27.2986373,38.17147775,18.06913561,55.13039842,3.26287137,Moderate
0.831647023,49.89068244,15.1772657,67.08207259,98.63013129,146.760738,48.19255498,72.8108947,4.523088437,Poor
0.338563838,,33.21540323,74.78373888,118.6030862,107.1916102,47.21243882,27.99672626,3.591406847,Moderate
1.518004796,57.28490735,23.68041945,47.8298088,109.0630429,18.34500206,44.72432166,48.38806557,3.708271658,Poor
0.25490045,22.88414443,22.49105774,47.09526391,42.86855271,34.74168653,,41.50169677,4.852174172,Good
1.140919093,49.87130108,24.20716542,55.0056376,25.80307127,17.62637738,26.41489706,49.01973213,9.948591872,Moderate
1.010979444,31.40998075,34.01545415,33.30825944,59.34961403,199.8798056,,32.16217044,4.503397571,Moderate
1.280930349,23.08528419,19.10665877,61.5687663,49.90529811,,43.10959948,65.17926457,2.011446774,Moderate
1.88611398,59.1988824,27.68208063,37.01622591,26.0723704,141.0371904,27.82435291,54.83383052,4.100553041,Poor
